Line;;;Line Length;;
No.;Line Type;Nodes No.;L [mm];;Comment
1;Polyline;1,2;1150.0;Z;
2;Polyline;2,3;2350.0;Z;
3;Polyline;6,3;7690.3;YZ;
4;Polyline;4,5;1150.0;Z;
5;Polyline;5,6;4050.0;Z;
6;Polyline;7,6;2500.0;Y;
7;Polyline;3,8;1950.0;X;
8;Polyline;5,10;1950.0;X;
9;Polyline;6,11;1950.0;X;
10;Polyline;7,14;1950.0;X;
11;Polyline;11,8;7690.3;YZ;
12;Polyline;9,10;1150.0;Z;
13;Polyline;10,11;4050.0;Z;
14;Polyline;12,11;2660.0;Z;
15;Polyline;14,11;2500.0;Y;
16;Polyline;12,15;2500.0;Y;
17;Polyline;13,14;5200.0;Z;
18;Polyline;15,14;2660.0;Z;
19;Polyline;11,16;1155.0;X;
20;Polyline;12,16;2899.9;XZ;
21;Polyline;14,17;1155.0;X;
22;Polyline;15,17;2899.9;XZ;
23;Polyline;12,18;2275.0;X;
24;Polyline;15,18;3380.2;XY;
25;Polyline;15,19;2275.0;X;
26;Polyline;17,16;2500.0;Y;
27;Polyline;16,18;2886.2;XZ;
28;Polyline;17,19;2886.2;XZ;
29;Polyline;20,16;2240.0;X;
30;Polyline;16,21;3356.7;XY;
31;Polyline;19,18;2500.0;Y;
32;Polyline;21,17;2240.0;X;
33;Polyline;18,20;2886.2;XZ;
34;Polyline;19,21;2886.2;XZ;
35;Polyline;18,22;2240.0;X;
36;Polyline;21,20;2500.0;Y;
37;Polyline;18,23;3356.7;XY;
38;Polyline;19,23;2240.0;X;
39;Polyline;20,22;2886.2;XZ;
40;Polyline;21,23;2886.2;XZ;
41;Polyline;24,20;2240.0;X;
42;Polyline;21,24;3356.7;XY;
43;Polyline;22,23;2500.0;Y;
44;Polyline;25,21;2240.0;X;
45;Polyline;22,24;2886.2;XZ;
46;Polyline;23,25;2886.2;XZ;
47;Polyline;22,26;2240.0;X;
48;Polyline;25,24;2500.0;Y;
49;Polyline;23,26;3356.7;XY;
50;Polyline;23,27;2240.0;X;
51;Polyline;24,26;2886.2;XZ;
52;Polyline;25,27;2886.2;XZ;
53;Polyline;28,24;2240.0;X;
54;Polyline;24,29;3356.7;XY;
55;Polyline;27,26;2500.0;Y;
56;Polyline;29,25;2240.0;X;
57;Polyline;26,28;2886.2;XZ;
58;Polyline;27,29;2886.2;XZ;
59;Polyline;26,30;2240.0;X;
60;Polyline;29,28;2500.0;Y;
61;Polyline;26,31;3356.7;XY;
62;Polyline;27,31;2240.0;X;
63;Polyline;28,30;2886.2;XZ;
64;Polyline;29,31;2886.2;XZ;
65;Polyline;32,28;2240.0;X;
66;Polyline;29,32;3356.7;XY;
67;Polyline;30,31;2500.0;Y;
68;Polyline;33,29;2240.0;X;
69;Polyline;30,32;2886.2;XZ;
70;Polyline;31,33;2886.2;XZ;
71;Polyline;30,34;2240.0;X;
72;Polyline;33,32;2500.0;Y;
73;Polyline;35,30;3356.7;XY;
74;Polyline;31,35;2240.0;X;
75;Polyline;32,34;2886.2;XZ;
76;Polyline;33,35;2886.2;XZ;
77;Polyline;36,32;2240.0;X;
78;Polyline;33,36;3356.7;XY;
79;Polyline;35,34;2500.0;Y;
80;Polyline;37,33;2240.0;X;
81;Polyline;34,36;2886.2;XZ;
82;Polyline;35,37;2886.2;XZ;
83;Polyline;34,38;2240.0;X;
84;Polyline;37,36;2500.0;Y;
85;Polyline;35,38;3356.7;XY;
86;Polyline;35,39;2240.0;X;
87;Polyline;36,38;2886.2;XZ;
88;Polyline;37,39;2886.2;XZ;
89;Polyline;40,36;2240.0;X;
90;Polyline;37,40;3356.7;XY;
91;Polyline;38,39;2500.0;Y;
92;Polyline;41,37;2240.0;X;
93;Polyline;38,40;2886.2;XZ;
94;Polyline;39,41;2886.2;XZ;
95;Polyline;38,42;2240.0;X;
96;Polyline;41,40;2500.0;Y;
97;Polyline;43,38;3356.7;XY;
98;Polyline;39,43;2240.0;X;
99;Polyline;40,42;2886.2;XZ;
100;Polyline;41,43;2886.2;XZ;
101;Polyline;44,40;2240.0;X;
102;Polyline;40,45;3356.7;XY;
103;Polyline;43,42;2500.0;Y;
104;Polyline;45,41;2240.0;X;
105;Polyline;42,44;2886.2;XZ;
106;Polyline;43,45;2886.2;XZ;
107;Polyline;42,46;2240.0;X;
108;Polyline;45,44;2500.0;Y;
109;Polyline;43,46;3356.7;XY;
110;Polyline;43,47;2240.0;X;
111;Polyline;44,46;2886.2;XZ;
112;Polyline;45,47;2886.2;XZ;
113;Polyline;48,44;2240.0;X;
114;Polyline;45,48;3356.7;XY;
115;Polyline;46,47;2500.0;Y;
116;Polyline;49,45;2240.0;X;
117;Polyline;46,48;2886.2;XZ;
118;Polyline;47,49;2886.2;XZ;
119;Polyline;46,50;2240.0;X;
120;Polyline;48,49;2500.0;Y;
121;Polyline;51,46;3356.7;XY;
122;Polyline;47,51;2240.0;X;
123;Polyline;48,50;2886.2;XZ;
124;Polyline;49,51;2886.2;XZ;
125;Polyline;52,48;2240.0;X;
126;Polyline;48,53;3356.7;XY;
127;Polyline;51,50;2500.0;Y;
128;Polyline;53,49;2240.0;X;
129;Polyline;50,52;2886.2;XZ;
130;Polyline;51,53;2886.2;XZ;
131;Polyline;53,52;2500.0;Y;
132;Polyline;50,58;2275.0;X;
133;Polyline;58,51;3380.2;XY;
134;Polyline;51,61;2275.0;X;
135;Polyline;57,52;1155.0;X;
136;Polyline;58,52;2899.9;XZ;
137;Polyline;60,53;1155.0;X;
138;Polyline;61,53;2899.9;XZ;
139;Polyline;54,57;7690.3;YZ;
140;Polyline;56,55;1150.0;Z;
141;Polyline;57,56;4050.0;Z;
142;Polyline;57,58;2660.0;Z;
143;Polyline;60,57;2500.0;Y;
144;Polyline;61,58;2500.0;Y;
145;Polyline;59,60;5200.0;Z;
146;Polyline;60,61;2660.0;Z;
147;Polyline;54,64;1950.0;X;
148;Polyline;56,66;1950.0;X;
149;Polyline;57,67;1950.0;X;
150;Polyline;60,68;1950.0;X;
151;Polyline;62,63;1150.0;Z;
152;Polyline;64,63;2350.0;Z;
153;Polyline;64,67;7690.3;YZ;
154;Polyline;66,65;1150.0;Z;
155;Polyline;67,66;4050.0;Z;
156;Polyline;68,67;2500.0;Y;
