1D Member FE;Member;FE Mesh Node Index;
No.;No.;1;2
1;1;1;2
2;2;2;3
3;3;6;492
4;3;492;528
5;3;528;493
6;3;493;529
7;3;529;494
8;3;494;72
9;3;72;495
10;3;495;530
11;3;530;496
12;3;496;531
13;3;531;497
14;3;497;70
15;3;70;498
16;3;498;532
17;3;532;499
18;3;499;3
19;4;4;5
20;5;5;6
21;6;7;502
22;6;502;536
23;6;536;503
24;6;503;539
25;6;539;504
26;6;504;6
27;7;3;505
28;7;505;74
29;7;74;506
30;7;506;8
31;8;5;10
32;9;6;508
33;9;508;500
34;9;500;509
35;9;509;11
36;10;7;510
37;10;510;533
38;10;533;511
39;10;511;14
40;11;11;512
41;11;512;490
42;11;490;513
43;11;513;501
44;11;501;514
45;11;514;507
46;11;507;515
47;11;515;523
48;11;523;516
49;11;516;78
50;11;78;517
51;11;517;525
52;11;525;518
53;11;518;526
54;11;526;519
55;11;519;8
56;12;9;10
57;13;10;11
58;14;12;11
59;15;14;142
60;15;142;535
61;15;535;146
62;15;146;538
63;15;538;149
64;15;149;11
65;16;12;15
66;17;13;14
67;18;15;14
68;19;11;150
69;19;150;16
70;20;12;16
71;21;14;145
72;21;145;17
73;22;15;17
74;23;12;18
75;24;15;18
76;25;15;19
77;26;17;144
78;26;144;79
79;26;79;148
80;26;148;80
81;26;80;151
82;26;151;16
83;27;16;18
84;28;17;19
85;29;20;157
86;29;157;540
87;29;540;154
88;29;154;16
89;30;16;152
90;30;152;81
91;30;81;303
92;30;303;82
93;30;82;305
94;30;305;83
95;30;83;296
96;30;296;21
97;31;19;18
98;32;21;293
99;32;293;77
100;32;77;301
101;32;301;17
102;33;18;20
103;34;19;21
104;35;18;22
105;36;21;298
106;36;298;84
107;36;84;306
108;36;306;85
109;36;85;158
110;36;158;20
111;37;18;23
112;38;19;23
113;39;20;22
114;40;21;23
115;41;24;163
116;41;163;541
117;41;541;160
118;41;160;20
119;42;21;291
120;42;291;86
121;42;86;312
122;42;312;87
123;42;87;308
124;42;308;88
125;42;88;164
126;42;164;24
127;43;22;23
128;44;25;287
129;44;287;75
130;44;75;290
131;44;290;21
132;45;22;24
133;46;23;25
134;47;22;26
135;48;25;285
136;48;285;89
137;48;89;317
138;48;317;90
139;48;90;171
140;48;171;24
141;49;23;26
142;50;23;27
143;51;24;26
144;52;25;27
145;53;28;173
146;53;173;458
147;53;458;166
148;53;166;24
149;54;24;169
150;54;169;91
151;54;91;314
152;54;314;92
153;54;92;316
154;54;316;93
155;54;93;282
156;54;282;29
157;55;27;26
158;56;29;280
159;56;280;73
160;56;73;284
161;56;284;25
162;57;26;28
163;58;27;29
164;59;26;30
165;60;29;276
166;60;276;94
167;60;94;318
168;60;318;95
169;60;95;174
170;60;174;28
171;61;26;31
172;62;27;31
173;63;28;30
174;64;29;31
175;65;32;183
176;65;183;553
177;65;553;176
178;65;176;28
179;66;29;275
180;66;275;96
181;66;96;339
182;66;339;97
183;66;97;341
184;66;341;98
185;66;98;179
186;66;179;32
187;67;30;31
188;68;33;274
189;68;274;71
190;68;71;279
191;68;279;29
192;69;30;32
193;70;31;33
194;71;30;34
195;72;33;268
196;72;268;99
197;72;99;342
198;72;342;100
199;72;100;180
200;72;180;32
