Node;Node Coordinates;;
No.;X [mm];Y [mm];Z [mm]
1;-2350.0;-7500.0;0.0
2;-2350.0;-7500.0;1150.0
3;-2350.0;-7500.0;3500.0
4;-2350.0;0.0;0.0
5;-2350.0;0.0;1150.0
6;-2350.0;0.0;5200.0
7;-2350.0;2500.0;5200.0
8;-400.0;-7500.0;3500.0
9;-400.0;0.0;0.0
10;-400.0;0.0;1150.0
11;-400.0;0.0;5200.0
12;-400.0;0.0;7860.0
13;-400.0;2500.0;0.0
14;-400.0;2500.0;5200.0
15;-400.0;2500.0;7860.0
16;755.0;0.0;5200.0
17;755.0;2500.0;5200.0
18;1875.0;0.0;7860.0
19;1875.0;2500.0;7860.0
20;2995.0;0.0;5200.0
21;2995.0;2500.0;5200.0
22;4115.0;0.0;7860.0
23;4115.0;2500.0;7860.0
24;5235.0;0.0;5200.0
25;5235.0;2500.0;5200.0
26;6355.0;0.0;7860.0
27;6355.0;2500.0;7860.0
28;7475.0;0.0;5200.0
29;7475.0;2500.0;5200.0
30;8595.0;0.0;7860.0
31;8595.0;2500.0;7860.0
32;9715.0;0.0;5200.0
33;9715.0;2500.0;5200.0
34;10835.0;0.0;7860.0
35;10835.0;2500.0;7860.0
36;11955.0;0.0;5200.0
37;11955.0;2500.0;5200.0
38;13075.0;0.0;7860.0
39;13075.0;2500.0;7860.0
40;14195.0;0.0;5200.0
41;14195.0;2500.0;5200.0
42;15315.0;0.0;7860.0
43;15315.0;2500.0;7860.0
44;16435.0;0.0;5200.0
45;16435.0;2500.0;5200.0
46;17555.0;0.0;7860.0
47;17555.0;2500.0;7860.0
48;18675.0;0.0;5200.0
49;18675.0;2500.0;5200.0
50;19795.0;0.0;7860.0
51;19795.0;2500.0;7860.0
52;20915.0;0.0;5200.0
53;20915.0;2500.0;5200.0
54;22070.0;-7500.0;3500.0
55;22070.0;0.0;0.0
56;22070.0;0.0;1150.0
57;22070.0;0.0;5200.0
58;22070.0;0.0;7860.0
59;22070.0;2500.0;0.0
60;22070.0;2500.0;5200.0
61;22070.0;2500.0;7860.0
62;24020.0;-7500.0;0.0
63;24020.0;-7500.0;1150.0
64;24020.0;-7500.0;3500.0
65;24020.0;0.0;0.0
66;24020.0;0.0;1150.0
67;24020.0;0.0;5200.0
68;24020.0;2500.0;5200.0
69;10835.0;2500.0;5200.0
70;-2350.0;-5625.0;3925.0
71;8595.0;2500.0;5200.0
72;-2350.0;-2812.5;4562.5
73;6355.0;2500.0;5200.0
74;-1375.0;-7500.0;3500.0
75;4115.0;2500.0;5200.0
76;-1375.0;-5625.0;3925.0
77;1875.0;2500.0;5200.0
78;-400.0;-4687.5;4137.5
79;755.0;1666.7;5200.0
80;755.0;833.3;5200.0
81;1315.0;625.0;5200.0
82;1875.0;1250.0;5200.0
83;2435.0;1875.0;5200.0
84;2995.0;1666.7;5200.0
85;2995.0;833.3;5200.0
86;3555.0;1875.0;5200.0
87;4115.0;1250.0;5200.0
88;4675.0;625.0;5200.0
89;5235.0;1666.7;5200.0
90;5235.0;833.3;5200.0
91;5795.0;625.0;5200.0
92;6355.0;1250.0;5200.0
93;6915.0;1875.0;5200.0
94;7475.0;1666.7;5200.0
95;7475.0;833.3;5200.0
96;8035.0;1875.0;5200.0
97;8595.0;1250.0;5200.0
98;9155.0;625.0;5200.0
99;9715.0;1666.7;5200.0
100;9715.0;833.3;5200.0
101;10275.0;1875.0;5200.0
102;10835.0;1250.0;5200.0
103;11395.0;625.0;5200.0
104;11955.0;1666.7;5200.0
105;11955.0;833.3;5200.0
106;12515.0;1875.0;5200.0
107;13075.0;1250.0;5200.0
108;13635.0;625.0;5200.0
109;14195.0;1666.7;5200.0
110;14195.0;833.3;5200.0
111;14755.0;625.0;5200.0
112;15315.0;1250.0;5200.0
113;15875.0;1875.0;5200.0
114;16435.0;1666.7;5200.0
115;16435.0;833.3;5200.0
116;16995.0;1875.0;5200.0
117;17555.0;1250.0;5200.0
118;18115.0;625.0;5200.0
119;18675.0;833.3;5200.0
120;18675.0;1666.7;5200.0
121;19235.0;625.0;5200.0
122;19795.0;1250.0;5200.0
123;20355.0;1875.0;5200.0
124;20915.0;1666.7;5200.0
125;20915.0;833.3;5200.0
126;2053.5;653.1;5200.0
127;3890.0;837.0;5200.0
128;6606.7;864.0;5200.0
129;8436.2;466.3;5200.0
130;10637.6;466.8;5200.0
131;12870.0;465.5;5200.0
132;17153.7;1000.7;5200.0
133;19950.1;425.1;5200.0
134;19616.5;1846.9;5200.0
135;17780.0;1663.0;5200.0
136;15063.3;1636.0;5200.0
137;13233.8;2033.7;5200.0
138;11032.4;2033.2;5200.0
139;8800.1;2034.5;5200.0
140;4516.3;1499.3;5200.0
141;1719.9;2074.9;5200.0
142;-400.0;2083.3;5200.0
143;145.9;1669.9;5200.0
144;755.0;2083.3;5200.0
145;177.5;2500.0;5200.0
146;-400.0;1250.0;5200.0
147;246.8;849.2;5200.0
148;755.0;1250.0;5200.0
149;-400.0;416.7;5200.0
150;177.5;0.0;5200.0
151;755.0;416.7;5200.0
152;1035.0;312.5;5200.0
153;1075.6;754.6;5200.0
154;1315.0;0.0;5200.0
155;1970.2;318.4;5200.0
156;1634.7;573.5;5200.0
157;2435.0;0.0;5200.0
158;2995.0;416.7;5200.0
159;2519.6;729.7;5200.0
160;3555.0;0.0;5200.0
161;4018.5;366.4;5200.0
162;3441.7;795.9;5200.0
163;4675.0;0.0;5200.0
164;4955.0;312.5;5200.0
165;4372.6;590.7;5200.0
166;5795.0;0.0;5200.0
167;6450.9;396.5;5200.0
168;6144.6;630.9;5200.0
169;5515.0;312.5;5200.0
170;5510.5;755.8;5200.0
171;5235.0;416.7;5200.0
172;4977.2;759.0;5200.0
173;6915.0;0.0;5200.0
174;7475.0;416.7;5200.0
175;6988.9;844.0;5200.0
176;8035.0;0.0;5200.0
177;8501.7;264.0;5200.0
178;8013.8;612.5;5200.0
179;9435.0;312.5;5200.0
180;9715.0;416.7;5200.0
181;9403.6;756.0;5200.0
182;8797.4;520.8;5200.0
183;9155.0;0.0;5200.0
184;10275.0;0.0;5200.0
185;10713.3;264.0;5200.0
186;10177.3;613.1;5200.0
187;11675.0;312.5;5200.0
188;11955.0;416.7;5200.0
189;11645.8;755.6;5200.0
190;11024.2;522.1;5200.0
191;11395.0;0.0;5200.0
192;12515.0;0.0;5200.0
193;12947.6;263.4;5200.0
194;12413.9;612.3;5200.0
195;13915.0;312.5;5200.0
196;14195.0;416.7;5200.0
197;13936.1;763.8;5200.0
198;13248.9;519.3;5200.0
199;13635.0;0.0;5200.0
200;14755.0;0.0;5200.0
201;15021.9;348.7;5200.0
202;14475.0;312.5;5200.0
203;14462.0;778.1;5200.0
204;15875.0;0.0;5200.0
205;16435.0;416.7;5200.0
206;15876.3;472.0;5200.0
207;16995.0;0.0;5200.0
208;17321.9;545.7;5200.0
